dest_address,total_lovelace,total_ada,edge_count,first_epoch,last_epoch
addr1q9rl70jma8nzcq7tjdzumfs9deqdymfdt9e53lwlhwkqc6p76qetxxzsev8dw5afylejs3mq83m8zf3l4r8w6vas5hdszmw2ug,52355780796000,52355780.796,5,220,220
addr1qxwkvkwvcx8rr60etpmgup7a9ygu9cv8w8s347cqlkqhf32x3ltckxcxex2ne9u5ffhdm2n2qf69lgxvau4r7lklmz5sw5mzm0,52128312660938,52128312.660938,1,208,208
addr1qy5g7f43yc4su7r60973k46vwu7h069cctqghdavpjtj4hxktgw8ye5gyzzpqm9uqvf09l09r8ssfc4mmfxxhhlennrs4pedjh,41753764444802,41753764.444802,8,209,227
addr1q82aslpxlz4agaurmtmxscehpj8gnpx8pdhr78rku3upd8ejq5ksdj9kkphg7vjrqy6txun6k7ydjausv40lpek4lpnqn6lgmc,27999991600000,27999991.6,14,208,209
addr1qxcr806jacaxmrq94x5zrjxwexy7l96n2zmzs5es9caxmvk2yuastpxkdew4nuqhygmvjmpj2jc0e3vyqess5vr5gu2sa98h9y,23633872800000,23633872.8,12,210,210
addr1q93wxqjuk0gmq6wrgkegvwlxuqeh89hrnxx626zrxf5akexwpw3scs5ydk7ulxgnqgwu2k9ftwzzvcp25j4wjevcknhqfmxffn,21872578824873,21872578.824873,16,209,227
addr1q9c226qrph2jrsks9jpwdqjh72ggkd6un0rydqwn24zzs8k7vawlyxdc6ekecws032jwjfe5hej4xjr9g4ds79uxz2lqr59pye,20176008820000,20176008.82,8,228,230
addr1qxgzmxsrer6x9p605csqrhag4amaqu042zthahugudhfnc8vdcmfghgh9y8h35j84hkm0l9qrcgglrdh4l49qej7r5ysa3ffcj,16441595333864,16441595.333864,6,217,217
addr1q9jkvddcvr8arvax4pzqmdmpeskrk03hfgvyjewrcye2af0d5vaey5x89nzkn6zg3tw5fks8xp7am9k5t3g5pknrhcus3gpc3v,15000000000000,15000000.0,3,219,219
addr1qyj6rpk3ysyfdsrpkyyw5vtdeskkyxefd4xj2vq5ka8za5uvju6nsc3vkk4u4pulg7mt5sn0e68wty8legtwg0z5ytpqchujw6,13792132040000,13792132.04,2,211,211
addr1q8awe4g7hz96rrcc02yryw52k8dwcs94q470rd03favs8e5kxhk50scpqtt46eq86rf9yk0x4vhvx00cfq6a8qwdeuzsv0829s,13300000000000,13300000.0,7,212,212
addr1qxfrw5sf6hwkn5yr7pzx9kg5mnztf0ye2ywsuykhtxjcv5v9cd647v42hwf5vsl0xmevqmsc4s3j3g0g2xte63ewc6qqjmg3u2,12341566954000,12341566.954,6,217,226
addr1q9pskvv49jt2dlzqnzr2gu6hzpfek595w3pz7h86x829uwa8ac00vfenslaemxnlhdju28gu6d7psstg778stdrp0ltspv98y7,11400000000000,11400000.0,6,212,212
addr1qxryrsfnflpp6g8w5n67pvnvz9wvc6844sy5cttsrrmteds9j5jn3k7vvj46sgdq4mmxqjqnsn9m980nr9ts88xn3llqmm9p02,10997696930493,10997696.930493,5,222,228
addr1qyn60hkmkhgquqdf656k5r3lykguxk2f4z85zyn5d9zdsk457p0ve87ceyrxaalajp7ms4x8djhkgc43xt8px0w8e3zqgff9dx,10664980000000,10664980.0,30,212,230
addr1qytql90zr975mhffgdzlqxjh4mq4094mkt7sfjkz3yee3j0d5vaey5x89nzkn6zg3tw5fks8xp7am9k5t3g5pknrhcusmsusel,10504200680656,10504200.680656,1,220,220
addr1q9w5p0c54ck297hv3ey7vxhk3s75ee4d2edq4s056ctrmj68gwdxjm9vqx894cxkj6aa0wdgrxgzqne9nkzn3t0wlrnssw5hf7,10039551523461,10039551.523461,3,219,219
addr1q8f0ljyvcyrhwxufjxyr0c8gmww5ng008wzesg3jnuynez4vetnf4um20zx2h7zalwhsa3y7wdxx6utt544mvky79psqqqsp2x,9793210784000,9793210.784,2,209,209
addr1qxc6dcptfnmuut2qed8r8qfjles44vtg24fqttmgnf0r3gxttzgxget986wchpu8ar8plrdgvxkksvez806ujvj26yhscrvn2u,9500000000000,9500000.0,5,212,212
addr1qxv6cf2qunx0aannwezmvz4m6w3wzjnzm4eg2xmnr4pltjl96f2tc9fgdysf7eh5k66h6jmfr3kxgw9lhczx8g0ddcpsln2fet,9207056616799,9207056.616799,10,211,221
