address,tx_count,unique_counterparties,total_received_ada,first_epoch,last_epoch,epoch_span,exchange_confidence
DdzFFzCqrhstmqBkaU98vdHu6PdqjqotmgudToWYEeRmQKDrn4cAgGv9EZKtu1DevLrMA1pdVazufUCK4zhFkUcQZ5Gm88mVHnrwmXvT,94334,316585,20180619991.54702900,87,202,115,VERY_HIGH
DdzFFzCqrhsfkegDcdUJAGBRoUP2LVakkby6ntdckcURzBsKmNJ7HmQ6LBwLZxTRVBvhZzuFuX9KUpraDcqhJavm35yeXgS2keJPHfKB,92838,28237,10041946861.12276500,13,87,74,VERY_HIGH
DdzFFzCqrhtBatWqyFge4w6M6VLgNUwRHiXTAg3xfQCUdTcjJxSrPHVZJBsQprUEc5pRhgMWQaGciTssoZVwrSKmG1fneZ1AeCtLgs5Y,27202,7428,46547412042.75565900,66,207,141,VERY_HIGH
DdzFFzCqrhsyE2NRAiFPmazW2E7YwNJzgXDz9EVkkL7HAA2apfyEuuT876ZgFoU3PWz3mgVZfqLXAsrvgkcxtXhwfsmrKbSCNRnnsdsq,24230,15613,8023300692.16809700,59,158,99,VERY_HIGH
DdzFFzCqrhssKt9voak6J9nQ85vP8PHecMNXtBQFsmzoWaLb9poUF85NCty5nfciRPDYBf6pPCctM9SmkAwu1RyFhDWeVhbrd5RdrNHt,18841,14944,110511407.89642400,103,207,104,VERY_HIGH
DdzFFzCqrhsvD2ha966skQcZj4j8EeBf2MXZqmg97Hjrf1Btbt5y6eFvs3UcvXDw3Kw9YRoPpQvYAj56nXsfUBvU7J5AddD1vo1HqJuK,14886,8103,756298927.00000000,59,148,89,VERY_HIGH
DdzFFzCqrht8YJoRhFGPMTzNPsHDsTpz9zkxH3qRe4wV5gwwGjRAyFcH4YMqBiyqt7dnSTmCb885caMYMeitVRqRK1iPuCeAoXwrP4UW,5930,357,350690735.33543800,103,207,104,HIGH
DdzFFzCqrhszvGBcfWZoxTuSXS7whAi5xEyD6pD53x4nXfRhNR4dg15XsTS8LVTH8Njy6VYaASWkbXEouEWr78AsUuUYq6Lf9QCv48Y4,5799,203,426281390.15931800,127,207,80,HIGH
DdzFFzCqrht3PZTtdDCQmvQgqmpdi932AAxq2MUVpfeQY2LWcf2oof7PFwzYFP59hR7MVcCJVLHGFhcpgSzhrbcDsGnUUFmoxFNaaYuG,5778,3584,714799682.19620400,42,207,165,VERY_HIGH
DdzFFzCqrhsfwBMaSKPaW1TvS79MZoqxGfowstvzMqUFChdYyVEK4ap3djNDhwCxZJqwphbKAUUfNmaMXwqwtuuMiihFmPqLXobaaHyx,5527,3087,774916986.79532400,16,105,89,VERY_HIGH
DdzFFzCqrhsmLfQVpdMcZEKoMCbxynn2qpAoYoZZE2QbtrgAZXEgkMtkdzCpMTrNEo4SsdTBgjHnDPbrwZbnuivaCxe4VceuSL45UdEW,4890,2757,114769619.29604900,44,207,163,HIGH
DdzFFzCqrhsxVsyhuDaS2M7uraTdSyXpnVXyT9byUGfkb8UUNx5hJsWkXTsa9QmcecnuZV8arBpcU82DNin2ps3YkkC57Xhtc7UyJrx7,4836,281,1675622900.05962400,31,59,28,HIGH
DdzFFzCqrht1kS1RAYhvt7SiRTT2CNy4oqJhZCobWZAX84ySNinnCa48EnUxn4HJtM4oQdBT8SGcHjyGTyVJsPWvXHyMt3rWXb3zAuqK,4807,7862,681579494.42620600,143,207,64,HIGH
DdzFFzCqrhtB66YkKzouHqeTAznkyCL7xfwAZvrgqkGiqhkjBcLSV3D8hCn9Ug7xBrpXwHEukKoWJq1w6cdh1a2Nt6fGp3M5tVocVPSV,4782,5418,563609616.94693700,41,101,60,HIGH
DdzFFzCqrht4veG6M14pGFjJp9fpmxEpPB98Zct7HMvLhXihteVaWhJcB7P7eLu43zxvYgv3TaCiAf5PxEG2gMsJ6FbRUVVsBbAK9V1Z,4764,3134,119682254.46111000,109,207,98,HIGH
DdzFFzCqrhsfJsnfh4hUt7gjVZmnaGmkvcKk14t4Upj26SNkGYLUGJZe9pMFaDdzRnYkan4mQJ26HKt1tyM763SPQCpHqViJedUny5pK,4598,6839,250789163.98008100,95,207,112,HIGH
DdzFFzCqrhswYBdxQvKFKjkqk9d6MPWhJ1QT7Xm93paQrdbCPLBL5JaPGfCRE4BdWgH5ivn7Sstfrp11DJinP7yFC3bLTHDh2SWhHPZ4,4438,7705,574690862.37099800,17,148,131,HIGH
DdzFFzCqrhsgaDtGMzwuGidxL9P6YovWG3EjejQFWcy9SVkdq7GQna6jDxrZvDnnSN5pH8tL3TqhgceW38QZo3gFy8wEkNYMX1r22f74,3436,4943,373380276.71699100,70,207,137,HIGH
DdzFFzCqrht6BRQnZJ3N385WZknxuez7kmDcMQMZ7opqATuQvxMyGWL7wzLxF3qUUma6dnfMh4dye6W5x1gu6bSdBwHoSQTb22T5r4PC,3435,2695,1330422835.88949000,96,207,111,HIGH
DdzFFzCqrhshszHAyce1DBDpEPHQbPUy3RQkGgFrDbdUhiLCAoKc4b8CFJuUCNBmR883Sr3Fa5ne9nyTwkAtmoLXbDY2qM71qMP2PVjY,3425,2545,212630222.26007100,108,204,96,HIGH
DdzFFzCqrhsvRL3TertRrzSVfG9KCuQY3ybsX8Hod74LBVaQvBr32z6DjFeVStAdP7idPptbTpdXt9XyN6m3QbJgBCH4wZk75LFsAbSd,3236,2009,28003946.935315000000,143,207,64,HIGH
DdzFFzCqrhss1awcztcaGtAJnfvSdBkKLtLwgBpph9wDJck8KD2FNZTKf5UUjQwRotigV1116ryfTQV5VXByFEp8u9uuEV9jAauDLL1e,3011,5969,17787140.276633000000,44,205,161,HIGH
DdzFFzCqrht82FLoe2MqpYZoWy3U1qUwRpKoYMirhKeGwq4BiCY7zftKTCyWBPu8gSdpwr2cs3hmwPsHFSGuxLEjRxr17mXaztmx6BmC,2966,4221,375536753.66000000,66,196,130,HIGH
DdzFFzCqrhspfq8HK8AAsU6kdJjYJWRrJopjABHTwncSJFkUPm267dPm7ViShM9V7MwFTgyig2KbTjh9GYhYEWnrG9rv6VgyZEBuyo88,2916,1897,166636263.05062600,95,207,112,HIGH
DdzFFzCqrht1tAg4qyNAVGj3zvf9MhjQRptvHHrQGAhnBRUusVvcVq8ey9mRV4oRnamH8Zb3j3b96ikW2ScShZvzmkTz9NZS34vsxF8D,2880,3289,2459282822.29143000,171,207,36,HIGH
DdzFFzCqrhsiwGDV9TNEhy2qS2daWHq5pu5fySETrAWcDonhM7BiUuC1UBuLGeRq3FJHkNUG7jxGLRqc6k1H17xk4WTKvyDfo7zkQeHg,2838,6524,163020527.23986700,108,207,99,HIGH
DdzFFzCqrhshwfzeZh3wq6B3e6eicvjajNja9S7uwSTqKN4bPYXKMRXMeQXnXPFGPbX34nKgTfHXUTBspAWJvmnBwaXBT3XXdoXgK7RQ,2752,14,236732194.82771200,112,133,21,MEDIUM
DdzFFzCqrhtB29GhPuqwCQp2zNxYThoSxPKuJRFLPCjbcseCGVUR72fyjyBvPjCnMCutnGEnZRH5cGT6Ji1uLX4mSQHX2fwqxYVSnGRC,2750,2269,367314880.56999900,66,177,111,HIGH
DdzFFzCqrhsuthDrpE8XSvPsBugdfTiMkaMq48UftawrEauw3nqW9ArjNBT2RsPbaN1syVZ8JfFDUupto5zpfdUx7XqgpTevWkZ7p8fE,2702,2692,40693530.010000000000,109,158,49,HIGH
DdzFFzCqrht3iCp7LhKhU7T4JFj9D7AuJod2VPm4rytnVRuFEXme8msqZLRBQAgEYHxbo2bdFn9LwdD2Vapdyi97bb7V62789SA6tcbZ,2548,1474,883867681.59829600,40,177,137,HIGH
DdzFFzCqrhsiqf922JGNRu7wN89RJ4yYdAi42TEB9p5xcwjVBqZKAgEBjoivUf9BiynYWxLVYqhQAvcBXaabXhiqCY22rgV28JW5cMqB,2521,1489,26539860.901677000000,23,60,37,HIGH
DdzFFzCqrht828hfzRExuFTQiJ15dnKbn5E7Mp6Wc3oGJV6CuwjpBfSmqkiY7DtwztX4hkzm8guPKdW82hzMNgQd3HkAAeuNNfbo36tp,2500,1549,206480101.35643400,121,207,86,HIGH
DdzFFzCqrht9P9wkUTNznpau4YXBzaNL73Znan5jnmu5rzzq5dHujqA8aJkbaxDEXG5xEd8Gjr6knWvCJN868pwnfpCNWmPiq7Cd558e,2468,3626,139538339.09974400,80,205,125,HIGH
DdzFFzCqrhsyExoTMAPGVEHMF6GiTuFtGYXWekzBhu6KEF2jHCe6UxxZni5NbFYz7gcXmox7NUrvTL11SYaxcaDPneySimvx8oS5RcQ4,2405,324,306056828.79999900,66,200,134,HIGH
DdzFFzCqrhsufeAzPnmEaWFg1rP1db7QBQCsVAmkqrsPVaXeSDiT8jhS1wWHDFDodtXdG33ekNmJJxUoreZb3a2Lmk34gpYAkhSxZrzd,2400,2000,496628459.74060000,86,207,121,HIGH
DdzFFzCqrhshdUfi586L6U9e1Lvqwbg2PpkkojaDGuAuamCuuVXHBxCUiUTtTashFJg6Ekg7cQPUv6d6fkDPufRiCi5bqBCH4QYfPRK1,2320,1564,825991281.77880000,59,130,71,HIGH
DdzFFzCqrht9ki2FUUkGHCNzBNqBLZCtBUcNC3cskP28ApDqTzXNnVBZZ7ui3fhBAkH1SD2ngkh6q8VG7zj9fy6devBaXRn2t3Xqo3qp,2177,1599,80713647.890000000000,60,207,147,HIGH
DdzFFzCqrhsqhwt1dPrsp2HGHiuertamRNDGtSSQWxbyyonUYAUeuhnbbGNbQCzC38xZhvTPLFuMNq9GDCL7nzTq634td9y2nbtgAyjx,2161,1566,131156275.22168800,41,191,150,HIGH
DdzFFzCqrhszAisfe4k7wNnA8Ue4L3AyHVpdeewZkyrfScRqRptz6RxzzVdbvYNscoq7cWyz69sECE2tKwC7gKFiqu5dzLZfTs3ez1xy,2101,3368,407521787.88438800,115,207,92,HIGH
DdzFFzCqrhsn8GaV9m3oikPFDa1g7Dp8vVdtHKKtK48xdkzxpFjEpQ6tqQa7bn6d1phR3dYFu9RjNr53jUABcPJdNaET8EtqYtscUMAs,2090,1677,193558085.39350000,94,207,113,HIGH
DdzFFzCqrht9KuZb2DzFECX3DVfFr3j3xrB9KzBqEtiZ92TCSpi3KFtuD9kymCGeWwsvgtLXmJL8q3QXEXAJzYjm1fuceEiBqj2BNgYP,2071,1,15850954.000000000000,111,112,1,MEDIUM
DdzFFzCqrhsnSQWGEkeso3Akrzj1iJxMb21hZBXmSkuDe7PLc6QYSH5g7NuSL23ePu3T8yHdwBqw92B9zcziBRp6PdFwjwnXuj78C32P,2017,1204,92017495.652934000000,108,204,96,HIGH
DdzFFzCqrhseudLufkJzMVqf8wxsPTLHtrdfjq2tq6QRJaukiot7AXaYqZZB4YjCc4M9Nr9VFWuGJi7H3QnQgNKfXwZAhqvgywaFr4RX,2003,1500,122120817.00000000,157,207,50,HIGH
DdzFFzCqrhspRGmTexd8z6T6vhypVb7bSHW36f5Xk1hjWYvQULcZjR9Pw5XqxiWNaBii6BubT6Bo96SjPA9wkbWqAZfuHctykqeddb9Q,1961,1634,270427105.51253000,69,158,89,HIGH
DdzFFzCqrhsqyMGr1vPdHLuYsmeRra7UYMnJrSxzJy3EHgna5fL6cctqz8vmqKPZDyiKt8E2Ytp7aiLBhNfDLwZd88dzNQ9DbTghPPYa,1909,2236,89981861.964582000000,65,128,63,HIGH
DdzFFzCqrhtAvHoh2QaDag4Skc1UMjsjHYouHK7XeDBw82JVbexe2CxTn1UJGmvF2VpfF2VSTtz2HykEZ5fYhTLZvwspngvUsrQ938EP,1865,1553,88221925.721434000000,106,207,101,HIGH
DdzFFzCqrhsqc7npHDWXrQFJBpXwnF3V7ZZ1xvGLnuX5gZa14xiRJdXBUXBtZnSdXtEbcWX21oRy5rr6nLhn2HRaHi2ZQPXLDLmoDsWa,1852,1413,279008163.77295400,100,207,107,HIGH
DdzFFzCqrht3Gmi2RUHN8f728jPQCmpRnMibYjnQc6yp1gcbvENcEdG4kYqSbS9sQs5k9A2wmueUFm75eqhuN9DH88X4WFPZ6iGuR9Rj,1841,2007,269358737.63190400,38,207,169,HIGH
DdzFFzCqrht1NEWiww3pDBMfo9it6pDNrWg9iV238C2pXWVUttmKZ3YvwRSVNmizbx7w8WpYsojkTvhoaRqqX52L2Ludb3YDdRqFTJkT,1791,875,21269209.233051000000,179,203,24,HIGH
DdzFFzCqrhsm9bj9AJ42Cf7dqHKyU5xn5J5G75hwGat5a91GeFQsUFt5bi6yYgXRubmpjk1v6oqiKfJa3yBmi1aoZUyvqHNG6z6o67jL,1781,1279,104491074.00000000,125,207,82,HIGH
