stake_address_view,total_lovelace,total_ada,edge_count,first_epoch,last_epoch
stake1uyldqv4nrpgvkrkh2w5j0ueggasrcan3ycl63nhdxwc2tkcyctyec,52355780796000,52355780.796,5,220,220
stake1u9rgl4utrvrvn9fuj72y5mka4f4qyazl5rxw723l0m0a32gssqsh4,52128312660938,52128312.660938,1,208,208
stake1u9e7k6fx5cy2w80nn094k3ra9r9jydaeme7gz4cn3wkzxnqztk7ek,50679985000000,50679985.0,28,213,218
stake1u8t958rjv6yzppqsdj7qxyhjlhj3ncgyu2aa5nrtmluee3c9qz5hp,41753764444802,41753764.444802,8,209,227
stake1u89zwwc9sntxuh2e7qtjydkfdse9fv8uckzqvcg2xp6yw9gj6yp06,41133871800000,41133871.8,22,210,210
stake1u8k6xwuj2rrje3tfapyg4h2ymgrnqlwajm29c52qmf3muwgztfeqr,29943844388633,29943844.388633,5,219,220
stake1uyeq2tgxezmtqm50xfpszd9nwfat0zxew7gx2hlsum2lsesaqlcl7,27999991600000,27999991.6,14,208,209
stake1u88qhgcvg2zxm0w0nyfsy8w9tz54hppxvq42f2hfvkvtfmszjkzfh,21872578824873,21872578.824873,16,209,227
stake1uyt740u9w299jzmhshe86cx75l2tev6kksutn4th53250lsage6jk,21674214790266,21674214.790266,267,228,230
stake1u80xwh0jrxudvmvu8g8c4f8fyu6tue2nfpj52kc0z7rp90skxlz6a,20176008820000,20176008.82,8,228,230
stake1u8kxud55t5tjjrmc6fr6mmdhljspuyy03km6l6jsve0p6zg6x6736,16441595333864,16441595.333864,6,217,217
stake1uxxfwdfcvgktt272s7050d46gfhuarh9jrlu59hy832z9sstdmfwj,13792132040000,13792132.04,2,211,211
stake1uxtrtm28cvqs946avsrap5jjt8n2ktkr8huysdwns8xu7pgt9w5jz,13300000000000,13300000.0,7,212,212
stake1uxzuxa2lx24thy6xg0hndukqdcv2cgeg5859r9uaguhvdqqdcpwj0,12341566954000,12341566.954,6,217,226
stake1uxn7u8hkyuec07uanflmkew9r5wdxlqcg9500rc9k3shl4c4c0kx7,11400000000000,11400000.0,6,212,212
stake1uyze2ffcm0xxf2agyxs2aanqfqfcfjajnhe3j4crnnfclls5tsvg7,10997696930493,10997696.930493,5,222,228
stake1ux60qhkvnlvvjpnw7l7eqldc2nrketmyv2cn9nsn8hruc3qgvy3rz,10696804596277,10696804.596277,32,212,230
stake1u9r58xnfdjkqrrj6urtfdw7hhx5pnypqfujempfc4hh03ecz9l8vj,10039551523461,10039551.523461,3,219,219
stake1uxkv4e567d483r9tlpwlhtcwcj08xnrdw94626aktz0zscq2h6qtu,9793210784000,9793210.784,2,209,209
stake1u8943yryv4jna8vts7r73nsl3k5xrttgxv3rhawfxf9dztcwyyech,9500000000000,9500000.0,5,212,212
