title,grant_value_ada,flags,url,last_updated,external_links
CIP-95 support for Cardano Transaction Library (CTL),106000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/open-category/cip-95-support-for-cardano-transaction-library-ctl,1 year ago,https://drive.google.com/file/d/1-wKUytjk6u4ZIZWs2O4QXPLgTHJwR9R4/view?usp=drive_link https://drive.google.com/file/d/1GNBwYnG7K27dFeMQCPZU2gjKFEJ1cBy7/view?usp=sharing https://drive.google.com/file/d/1dIvx1BDH1hx3B8TvZ-oAyAp50jR2JLVc/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
GM Cardano - Governance Matters Cardano videos/podcast,106000,,https://intersect.gitbook.io/intersect-community-grants/cohort-3/educational-and-multimedia/gm-cardano-governance-matters-cardano-videos-podcast,1 year ago,https://drive.google.com/file/d/1BdCFMbb6vFTLmvZzUACqXknQeeytQpKt/view?usp=drive_link https://drive.google.com/file/d/1HCE5XX76EZ96ryS_5ZoP18d3-C0FXMgb/view?usp=drive_link https://drive.google.com/file/d/1MmSBOPB9i5wjydtC27SqlcdpCiqr7tYD/view?usp=sharing https://drive.google.com/file/d/1_HdDKqArhgloWniYfsCaL-nIbVofLMWY/view?usp=sharing https://drive.google.com/file/d/1gqHoayQrN5NozKclL-5BxxDGNuVDugHI/view?usp=drive_link https://drive.google.com/file/d/1zX5EosnjA2TvvEXC4LDXHgMk_BBuMGRY/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE https://x.com/gm_cardano/status/1828888561166488035 https://x.com/gm_cardano/status/1829211794277077188 https://x.com/gm_cardano/status/1829537382213038147
Cardano Governance in a Nutshell - Mike Hornan & Summon Associations,100000,,https://intersect.gitbook.io/intersect-community-grants/cohort-3/educational-and-multimedia/cardano-governance-in-a-nutshell-mike-hornan-and-summon-associations,1 year ago,https://able-pool.io/document https://able-pool.io/voltaire https://drive.google.com/file/d/1DNc_wwX_OuPebwtUFPIFHWi3tVVNxQ-U/view?usp=drive_link https://drive.google.com/file/d/1EXb_nn1l1k9p_ReEqRmTBc10RKzAEjgB/view?usp=drive_link https://drive.google.com/file/d/1tNE1fFKD38lX6_3Nf2Pyv-3MKR_f6jpT/view?usp=drive_link https://drive.google.com/file/d/1x5SuUiPfAjLZHFyUwMGAs05BTwKe4AJV/view?usp=drive_link https://github.com/Hornan7/Documentation https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
Stable Coin,66000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/open-category/stable-coin,12 months ago,https://drive.google.com/file/d/1aqiUmD7UUQFqwe1HBtkWFB21TYqrRWLZ/view?usp=drive_link https://www.appold.com/news/stablecoinreseach https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
Intersect Town Halls,55120,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/inclusion-and-accessibility/intersect-town-halls,10 months ago,https://drive.google.com/file/d/19jpDfxwYCW6kRDIvpIWM-WYkUVGUo8TI/view?usp=sharing https://drive.google.com/file/d/1L19scmLy80MkDek6DWUg39Tk2j33TpkM/view?usp=sharing https://drive.google.com/file/d/1N-FSc6-2n17XS_GfFN9Y6yNc037QpD6p/view?usp=sharing https://drive.google.com/file/d/1ruuAStKbFwIo_vS7QXI0JvFSBGGYpPz7/view?usp=sharing https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
Engaging young people into Cardano Governance,50000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/educational-and-multimedia/engaging-young-people-into-cardano-governance,1 year ago,https://docs.selfdriven.foundation/intersect-education-kit/fundamentals/the-learning-journey https://drive.google.com/file/d/1P_GliSSGNWwzVAmXb4879E7iJgnRXQBu/view?usp=sharing https://drive.google.com/file/d/1TAcIM5Q11YOcy_pzruKHBhzSE2cTh2We/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
"Making Cardano governance clear and accessible to everyone, Portuguese speaking community",45000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/educational-and-multimedia/making-cardano-governance-clear-and-accessible-to-everyone-portuguese-speaking-community,1 year ago,https://docs.google.com/document/d/1U9ZWWSjk2mzc7GYSeQfS24Quumlem9nF/edit?usp=sharing&ouid=104648571819070702900&rtpof=true&sd=true https://drive.google.com/file/d/1MTvr5LaDYCRVyilba5EC2lI4f9cfGZGf/view?usp=drive_link https://drive.google.com/file/d/1_0OWAWmcSw1Fp_PFsIDxtLiEHa8GIY5o/view?usp=drive_link https://drive.google.com/file/d/1_nxsd6dn5-SL45JGk5QpKoiooL9oSqAf/view?usp=drive_link https://drive.google.com/file/d/1sEhg1oLYmLtAIVSzBGexX6A69quT_rXu/view?usp=drive_link https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
"Governance Education Through Infographics, Threads, and Tutorials. English and Spanish.",34000,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/educational-and-multimedia/governance-education-through-infographics-threads-and-tutorials.-english-and-spanish.,12 months ago,https://cardanospot.io/news/the-chang-hard-fork-and-ouroboros-journey-rCER5iTmKbJrwShD https://drive.google.com/file/d/1EOFYWyPkRuuKEUYCyzdfqTqbE-a6J3un/view?usp=sharing https://drive.google.com/file/d/1REbtLQYGsE_IGz27rP89JcDYWX1nVx3l/view?usp=drive_link https://drive.google.com/file/d/1a6mzYbThGBeM5tpcTHYOlz_6h0AF78NH/view?usp=drive_link https://drive.google.com/file/d/1g6x22X5zxoWHQwIPaMaICj9Few2WAMxh/view?usp=sharing https://drive.google.com/file/d/1t3ogvIiqOsjC-goYhjXLoM1SzsSwsp0S/view?usp=drive_link https://www.cardanonewsletter.com/post/cip-1694-cardano-decentralized-governance https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
Twitter Space,31600,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/inclusion-and-accessibility/twitter-space,1 year ago,https://drive.google.com/file/d/1_RCRgGka295mpyvpc1z8NX6mGY9CcSTo/view?usp=sharing https://drive.google.com/file/d/1yOOu2eA-iKVnVxc-RAH7p7aNqGlYBWvv/view?usp=sharing https://www.gitbook.com/?utm_source=content&utm_medium=trademark&utm_campaign=7IvOomm3j1VTewu5MKAE
Open Space,5300,NO_DELIVERABLE_LINKS,https://intersect.gitbook.io/intersect-community-grants/cohort-3/inclusion-and-accessibility/open-space,10 months ago,https://drive.google.com/file/d/14oqYVub2Ty7KVFEUIumM3sF9HCZodHD5/view?usp=sharing https://drive.google.com/file/d/150rjat_eSmwKc1T86mjzs4jjca2Fb7A_/view?usp=drive_link https://drive.google.com/file/d/18fNUMU8hrMl3dxmOy8ZHMjIFaTd2ZIdt/view?usp=drive_link https://drive.google.com/file/d/1C5XOW-buTskbRxV0dddFjzX2uUSOHuiQ/view?usp=drive_link https://drive.google.com/file/d/1Ihuc62FzSNDRbES9c37iSpk7ujFO0bau/view?usp=sharing https://drive.google.com/file/d/1KdE35Nqbu6aKFMwf6LuEndHdfMY-QFHl/view?usp=sharing https://drive.google.com/file/d/1NDIYvXZSOhR4jUJCJu9DHOk9siS1Rm_r/view?usp=drive_link https://drive.google.com/file/d/1QoEb7XT3x_Ft7L6kYiOK_upl3kxLVl-R/view?usp=sharing https://drive.google.com/file/d/1Xi9WH2WhB7TU9wWUIDKCUsD8S8wPQg0H/view?usp=sharing https://drive.google.com/file/d/1_NEs1wP4Pk0W5aCUsh6cHsRcEvOuQVgl/view?usp=sharing
